lkrID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,resdn_alt,note
95,Beresina,187,town,yes,"54.86768, 30.85447",54.86768,30.85447,https://www.geonames.org/575210/bol-shaya-berezina.html,2,BERESEN; BERESSIN,locations in Smolensk and Bryansk
96,Krakov,170,town,yes,"50.06143, 19.93658",50.06143,19.93658,https://www.geonames.org/3094802/krakow.html,3,,
97,Kherson,173,town,yes,"46.63695, 32.61458",46.63695,32.61458,https://www.geonames.org/706448/kherson.html,3,CHERSON; CHERSIN,
98,Rovno,165,town,yes,"50.62308, 26.22743",50.62308,26.22743,https://www.geonames.org/695594/rivne.html,3,,
99,Smolensk,162,town,yes,"54.7818, 32.0401",54.7818,32.0401,https://www.geonames.org/491687/smolensk.html,3,,
100,Akuly,160,town,yes,"54.58877, 32.38208",54.58877,32.38208,https://www.geonames.org/7092473/akuly.html,3,,
101,Revel,157,town,yes,"59.43696, 24.75353",59.43696,24.75353,https://www.geonames.org/588409/tallinn.html,3,,
102,Brautford,149,town,no,-,-,-,undetermined,0,,
103,Novgorod,147,town,yes,"58.52131, 31.27104",58.52131,31.27104,https://www.geonames.org/519336/velikiy-novgorod.html,3,,
104,Kobrin,151,town,yes,"52.2138, 24.3564",52.2138,24.3564,https://www.geonames.org/627145/kobryn.html,3,,
105,Antwerp,140,town,no,"51.22047, 4.40026",51.22047,4.40026,https://www.geonames.org/2803138/antwerpen.html,3,,
106,Lublin,136,town,yes,"51.25, 22.56667",51.25,22.56667,https://www.geonames.org/765876/lublin.html,3,,
107,Protracta,136,town,undetermined,-,-,-,undetermined,0,,
108,Friedrichstadt,134,town,yes,"56.61319, 25.08316",56.61319,25.08316,https://www.geonames.org/459402/jaunjelgava.html,2,,alternate locations in Germany
109,Johannisthal,128,town,no,-,-,-,undetermined,0,,"locations throughout Germany, Poland, France"
110,Grajewo,151,town,yes,"53.64728, 22.45537",53.64728,22.45537,https://www.geonames.org/771506/grajewo.html,2,GRAJAVO; GRAJIWO,
111,Slobodka,124,town,yes,-,-,-,undetermined,1,,various locations
112,Janowe,148,town,undetermined,-,-,-,undetermined,0,JANOWIETZ,
113,Meretz,159,town,undetermined,-,-,-,undetermined,0,,
114,Pfeiffer,118,town,undetermined,-,-,-,undetermined,0,,
115,Wilkomir,118,town,yes,"55.25, 24.75",55.25,24.75,https://www.geonames.org/593733/ukmerge.html,3,WALKOMIR,
116,Sulz,116,town,no,-,-,-,undetermined,0,,"various locations throughout Switzerland, Germany, Austria"
117,Alexandrowo,120,town,yes,"56.39516, 38.71216",56.39516,38.71216,https://www.geonames.org/583350/aleksandrov.html,3,ALEKSANDROWO; ALEXANDROWA,
118,Goldingen,116,town,yes,"56.97399, 21.95721",56.97399,21.95721,https://www.geonames.org/458460/kuldiga.html,2,,
119,Munchen,115,town,no,"48.13743, 11.57549",48.13743,11.57549,https://www.geonames.org/2867714/munich.html,3,,
120,Rostov,120,town,yes,"57.1914, 39.41394",57.1914,39.41394,https://www.geonames.org/501183/rostov.html,3,,
121,Horetzdale,113,town,no,-,-,-,undetermined,0,,
122,Wandsbeck,113,town,no,-,-,-,undetermined,0,,South Africa
123,Leipzig,112,town,no,"51.33962, 12.37129",51.33962,12.37129,https://www.geonames.org/2879139/leipzig.html,3,,
124,Lida,112,town,yes,"53.88333, 25.29972",53.88333,25.29972,https://www.geonames.org/626081/lida.html,3,,
125,Ostrowo,119,town,undetermined,-,-,-,undetermined,0,OSTROW,locations throughout Poland
126,Sagarren,112,town,no,-,-,-,undetermined,0,,
127,Passaic,108,town,no,-,-,-,undetermined,0,,New Jersey?
128,Kazan,107,town,yes,"55.78874, 49.12214",55.78874,49.12214,https://www.geonames.org/551487/kazan.html,3,,
129,Zaslow,113,town,undetermined,-,-,-,undetermined,0,,
130,Hango,141,town,yes,"59.83333, 22.95",59.83333,22.95,https://www.geonames.org/659101/hanko.html,3,HANGA; HANGI; HANGE; HANJO,
131,Chernigov,122,town,yes,"51.50551, 31.28487",51.50551,31.28487,https://www.geonames.org/710735/chernihiv.html,3,CZERNIGOW; CZARNIKOV,
132,Selz,104,town,no,-,-,-,undetermined,1,,various locations
133,Tilsit,104,town,no,"55.08392, 21.87851",55.08392,21.87851,https://www.geonames.org/490068/sovetsk.html,3,,
134,Czenstochow,124,town,no,"50.79646, 19.12409",50.79646,19.12409,https://www.geonames.org/3100946/czestochowa.html,3,CZESTOCHOW,
135,Tobolsk,103,town,yes,"58.19807, 68.25457",58.19807,68.25457,https://www.geonames.org/1489530/tobolsk.html,3,TOMOLSK,
136,Rohrbach,103,town,no,"47.13521, 7.81334",47.13521,7.81334,https://www.geonames.org/2658991/rohrbach.html,2,,
137,Kharkov,101,town,yes,"49.98081, 36.25272",49.98081,36.25272,https://www.geonames.org/706483/kharkiv.html,3,CHARKOW,
138,Kedan,101,town,undetermined,-,-,-,undetermined,0,,
139,Hazleton,101,town,no,"40.95842, -75.97465",40.95842,-75.97465,https://www.geonames.org/5193011/hazleton.html,3,,
140,Strassburg,99,town,no,"48.58392, 7.74553",48.58392,7.74553,https://www.geonames.org/2973783/strasbourg.html,3,,
141,Worms,100,town,no,"49.63278, 8.35916",49.63278,8.35916,https://www.geonames.org/2806142/worms.html,3,,
142,Dobrzyn,98,town,no,"53.11087, 19.05381",53.11087,19.05381,https://www.geonames.org/3098925/golub-dobrzyn.html,2,,
143,Glucken,97,town,no,-,-,-,undetermined,0,,
144,Faraczin,95,town,undetermined,-,-,-,undetermined,0,,
145,Mlawa,96,town,yes,"53.11278, 20.3841",53.11278,20.3841,https://www.geonames.org/764634/mlawa.html,3,,
146,Kutno,90,town,yes,"52.23064, 19.36409",52.23064,19.36409,https://www.geonames.org/3094170/kutno.html,3,,
147,Forest City,89,town,no,-,-,-,undetermined,0,,https://www.geonames.org/search.html?q=forest+city&country=
148,Smorgon,89,town,yes,"54.4798, 26.3957",54.4798,26.3957,https://www.geonames.org/621713/smarhon.html,3,,
149,Telschen,102,town,yes,"55.98139, 22.24722",55.98139,22.24722,https://www.geonames.org/593926/telsiai.html,3,,
150,Sejny,86,town,no,"54.10802, 23.34698",54.10802,23.34698,https://www.geonames.org/759503/sejny.html,3,,
151,Breslau,85,town,no,"51.1, 17.03333",51.1,17.03333,https://www.geonames.org/3081368/wroclaw.html,3,,
152,Dorpat,85,town,yes,"58.38062, 26.72509",58.38062,26.72509,https://www.geonames.org/588335/tartu.html,3,,
153,Klosterdorf,85,town,no,-,-,-,undetermined,1,,https://www.geonames.org/search.html?q=klosterdorf&country=
154,Berne,84,town,no,"46.94809, 7.44744",46.94809,7.44744,https://www.geonames.org/2661552/bern.html,2,,
155,Brody,84,town,no,"50.08791, 25.15027",50.08791,25.15027,https://www.geonames.org/711416/brody.html,3,,
